Exp,HMI,VP,TC01_Duration,TC01_Surt_AOI_Attention_Ratio,TC01_street_AOI_Attention_Ratio,TC01_ic_AOI_Attention_Ratio,TC01_wheel_AOI_Attention_Ratio,TC01_EyesOnAOIs,TC01_valid,TC01_Comment,TC04_Duration,TC04_Surt_AOI_Attention_Ratio,TC04_street_AOI_Attention_Ratio,TC04_ic_AOI_Attention_Ratio,TC04_wheel_AOI_Attention_Ratio,TC04_EyesOnAOIs,TC04_valid,TC04_Comment,TC07_Duration,TC07_Surt_AOI_Attention_Ratio,TC07_street_AOI_Attention_Ratio,TC07_ic_AOI_Attention_Ratio,TC07_wheel_AOI_Attention_Ratio,TC07_EyesOnAOIs,TC07_valid,TC07_Comment,TC01_Lvl_start,TC01_Lvl_end,TC01_prop_L0,TC01_prop_L2,TC01_prop_L3,TC04_Lvl_start,TC04_Lvl_end,TC04_prop_L0,TC04_prop_L2,TC04_prop_L3,TC07_Lvl_start,TC07_Lvl_end,TC07_prop_L0,TC07_prop_L2,TC07_prop_L3
2,LC,62,70.608,0.372,0,40.692,55.804,0.97,1,,72.664,0,83.369,3.196,8.435,0.95,1,,74.199,0.007,0,41.859,41.387,0.83,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,LC,63,70.702,2.174,0.328,22.801,6.368,0.32,0,mitten im TC abgebogen. nicht verwenden,74.215,0.782,70.491,16.253,7.52,0.95,1,,73.76,0.005,0,49.311,48.187,0.98,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,LC,64,68.129,0,0,35.13,59.998,0.95,1,,73.884,0,0,31.233,63.095,0.94,1,,74.299,0,0,39.423,55.116,0.95,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,LC,66,73.179,0,0.752,65.098,27.504,0.93,1,,73.709,0.969,54.478,28.178,11.567,0.95,1,,74.728,0,0,34.031,61.048,0.95,1,,0,0,1,0,0,2,3,0,0.047001621,0.952998379,2,2,0,1,0
2,LC,67,72.914,0.374,0,20.598,72.137,0.93,1,,73.838,0.249,0.009,9.161,72.547,0.82,0,,74.306,0,59.449,1.604,7.806,0.69,0,,0,0,1,0,0,2,2,0,1,0,3,3,0,0,1
2,LC,69,73.565,0,0,17.353,79.867,0.97,1,,74.102,0.04,25.213,45.636,21.874,0.93,0,,74.122,0,0,6.42,92.008,0.98,1,,0,0,1,0,0,2,2,0,1,0,2,2,0,1,0
2,LC,70,69.974,3.187,0,38.63,54.546,0.96,0,,73.742,0,92.588,0.799,1.559,0.95,1,,73.642,0,0,13.919,81.944,0.96,1,,0,2,0.074137931,0.798275862,0.127586207,3,3,0,0,1,2,2,0,1,0
2,LC,71,,,,,,0.00,0,,74.255,0,82.456,3.702,12.419,0.99,0,,74.399,0,88.749,0,10.086,0.99,0,,0,0,1,0,0,2,2,0,1,0,3,3,0,0,1
2,LC,72,67.346,0,0.848,35.744,51.276,0.88,1,,74.324,0,15.428,24.004,55.013,0.94,0,,62.478,0.269,0,66.737,15.631,0.83,1,,0,0,1,0,0,2,2,0,1,0,0,2,0.122287968,0.877712032,0
2,LC,74,73.671,0.535,0,50.58,45.044,0.96,1,,73.658,0.535,68.768,16.673,9.767,0.96,1,,74.295,0,50.954,21.548,21.361,0.94,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
