"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC12_wheel_glance_at_start",1,"LC",26,25,0,0,0,0,0,"0: 25"
"TC12_wheel_glance_at_start",2,"HC",33,32,0,0,0,0,0,"0: 32"
"TC12_wheel_glance_at_start",2,"LC",28,25,0,0,0,0,0,"0: 25"
"TC12_wheel_glance_at_start",3,"HC",23,20,0,0,0,0,0,"0: 20"
"TC12_wheel_glance_at_start",3,"LC",19,16,0,0,0,0,0,"0: 16"
"TC12_wheel_n_glances_after_start",1,"HC",26,22,0.59,0.59,1,0,2,"1: 11, 0: 10, 2: 1"
"TC12_wheel_n_glances_after_start",1,"LC",26,25,0.52,0.51,1,0,1,"1: 13, 0: 12, 2: 0"
"TC12_wheel_n_glances_after_start",2,"HC",33,32,0.31,0.47,0,0,1,"0: 22, 1: 10, 2: 0"
"TC12_wheel_n_glances_after_start",2,"LC",28,25,0.24,0.44,0,0,1,"0: 19, 1: 6, 2: 0"
"TC12_wheel_n_glances_after_start",3,"HC",23,20,0.05,0.22,0,0,1,"0: 19, 1: 1, 2: 0"
"TC12_wheel_n_glances_after_start",3,"LC",19,16,0.25,0.58,0,0,2,"0: 13, 1: 2, 2: 1"
"TC10_TimeToL0",1,"HC",26,22,15.21,5.65,16.2,7.42,25.57,NA
"TC10_TimeToL0",1,"LC",26,25,16.05,8.42,15.22,3.08,26.95,NA
"TC10_TimeToL0",2,"HC",33,31,11.86,5.36,11.3,3.7,25.3,NA
"TC10_TimeToL0",2,"LC",28,24,18.52,12.16,21.55,0,43.1,NA
"TC10_TimeToL0",3,"HC",23,20,13.23,7.4,10.4,4.9,27.9,NA
"TC10_TimeToL0",3,"LC",19,16,21.54,8.9,24.8,0,35.4,NA
"TC12_TimeToL0",1,"HC",26,22,4.96,2.55,3.95,1.85,9.83,NA
"TC12_TimeToL0",1,"LC",26,25,6.14,3.04,6.17,2.53,12.15,NA
"TC12_TimeToL0",2,"HC",33,32,3.55,1.94,3.25,1.4,10.1,NA
"TC12_TimeToL0",2,"LC",28,22,9.1,5.16,7.75,2,19.3,NA
"TC12_TimeToL0",3,"HC",23,19,4.63,4.18,2.9,1.7,18.4,NA
"TC12_TimeToL0",3,"LC",19,16,8.53,3.38,7.65,2.7,14.3,NA
"TC10_ic_glance_allocation_time",1,"HC",26,21,3.65,3.37,2.53,0.37,8.82,NA
