"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC10_TimeToL0",2,"LC",28,24,19.76,11.03,21.6,4.9,43.1,NA
"TC10_TimeToL0",3,"HC",21,21,13.91,7.85,10.8,4.9,27.9,NA
"TC10_TimeToL0",3,"LC",21,15,22.97,7.04,25.4,6.6,35.4,NA
"TC12_TimeToL0",1,"HC",26,26,4.9,2.5,4.02,1.4,9.83,NA
"TC12_TimeToL0",1,"LC",26,26,6.14,2.98,6.12,2.53,12.15,NA
"TC12_TimeToL0",2,"HC",33,33,3.49,1.94,2.9,1.4,10.1,NA
"TC12_TimeToL0",2,"LC",28,23,9.07,5.05,7.9,2,19.3,NA
"TC12_TimeToL0",3,"HC",21,20,4.66,4.07,2.95,1.7,18.4,NA
"TC12_TimeToL0",3,"LC",21,16,8.53,3.38,7.65,2.7,14.3,NA
"TC10_TimeToAction_1",1,"HC",26,26,13.23,6.39,11.53,4.42,25.5,NA
"TC10_TimeToAction_1",1,"LC",26,26,15.49,8.42,14.54,3.03,26.9,NA
"TC10_TimeToAction_1",2,"HC",33,32,10.97,5.46,10.1,3.5,25.1,NA
"TC10_TimeToAction_1",2,"LC",28,24,19.42,11.1,21.35,4.6,42.9,NA
"TC10_TimeToAction_1",3,"HC",21,21,13.33,7.98,9.8,4.7,27.8,NA
"TC10_TimeToAction_1",3,"LC",21,15,22.2,7.38,24.8,6.4,35.1,NA
"TC10_TimeToAction_2",1,"HC",26,9,9.89,3.88,9.03,4.92,17.7,NA
"TC10_TimeToAction_2",1,"LC",26,5,11.67,7.71,10.08,4.93,24.55,NA
"TC10_TimeToAction_2",2,"HC",33,10,8.45,2.22,8.55,4.9,12.3,NA
"TC10_TimeToAction_2",2,"LC",28,6,26.97,15.68,28.4,6.5,48,NA
"TC10_TimeToAction_2",3,"HC",21,4,13.3,9.33,9.4,7.2,27.2,NA
"TC10_TimeToAction_2",3,"LC",21,4,22.47,12.04,23.25,7.1,36.3,NA
"TC10_TimeToAction_3",1,"HC",26,7,11.51,4.39,10.72,6.22,18.92,NA
"TC10_TimeToAction_3",1,"LC",26,2,10.34,3.26,10.34,8.03,12.65,NA
"TC10_TimeToAction_3",2,"HC",33,7,11.44,4.82,9.9,6.8,21.1,NA
"TC10_TimeToAction_3",2,"LC",28,3,28.8,13.65,32.8,13.6,40,NA
"TC10_TimeToAction_3",3,"HC",21,1,14.2,NA,14.2,14.2,14.2,NA
"TC10_TimeToAction_3",3,"LC",21,2,34.15,12.66,34.15,25.2,43.1,NA
"TC10_TimeToAction_4",1,"HC",26,4,12.75,6.09,12.29,6.87,19.53,NA
"TC10_TimeToAction_4",1,"LC",26,2,11.13,3.03,11.13,8.98,13.27,NA
"TC10_TimeToAction_4",2,"HC",33,3,12.93,3.96,12.7,9.1,17,NA
"TC10_TimeToAction_4",2,"LC",28,1,14.5,NA,14.5,14.5,14.5,NA
"TC10_TimeToAction_4",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_4",3,"LC",21,1,44,NA,44,44,44,NA
"TC10_TimeToAction_5",1,"HC",26,2,9.43,0.52,9.43,9.07,9.8,NA
"TC10_TimeToAction_5",1,"LC",26,1,10.53,NA,10.53,10.53,10.53,NA
"TC10_TimeToAction_5",2,"HC",33,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_5",2,"LC",28,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_5",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_5",3,"LC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_6",1,"HC",26,1,9.35,NA,9.35,9.35,9.35,NA
"TC10_TimeToAction_6",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_6",2,"HC",33,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_6",2,"LC",28,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_6",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_6",3,"LC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_7",1,"HC",26,1,9.88,NA,9.88,9.88,9.88,NA
"TC10_TimeToAction_7",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_7",2,"HC",33,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_7",2,"LC",28,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_7",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC10_TimeToAction_7",3,"LC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_1",1,"HC",26,26,4.76,2.35,3.95,1.35,9.08,NA
"TC12_TimeToAction_1",1,"LC",26,26,5.97,2.93,6.06,2.47,12.1,NA
"TC12_TimeToAction_1",2,"HC",33,33,3.31,1.96,2.8,1.1,10,NA
"TC12_TimeToAction_1",2,"LC",28,23,8.78,5.11,7.3,1.8,19.1,NA
"TC12_TimeToAction_1",3,"HC",21,20,4.44,4.07,2.75,1.4,18.1,NA
"TC12_TimeToAction_1",3,"LC",21,16,8.32,3.36,7.55,2.6,14.1,NA
"TC12_TimeToAction_2",1,"HC",26,4,7.9,1.88,8.16,5.48,9.8,NA
"TC12_TimeToAction_2",1,"LC",26,4,5.81,1.94,5.83,3.52,8.05,NA
"TC12_TimeToAction_2",2,"HC",33,3,3.43,2.05,2.9,1.7,5.7,NA
"TC12_TimeToAction_2",2,"LC",28,5,13.96,9.92,11,3.6,28.6,NA
"TC12_TimeToAction_2",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_2",3,"LC",21,2,12.25,6.43,12.25,7.7,16.8,NA
"TC12_TimeToAction_3",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_3",1,"LC",26,2,6.97,1.27,6.97,6.07,7.87,NA
"TC12_TimeToAction_3",2,"HC",33,1,4,NA,4,4,4,NA
"TC12_TimeToAction_3",2,"LC",28,1,13.2,NA,13.2,13.2,13.2,NA
"TC12_TimeToAction_3",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_3",3,"LC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_4",1,"HC",26,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_4",1,"LC",26,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_4",2,"HC",33,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_4",2,"LC",28,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_4",3,"HC",21,0,NA,NA,NA,Inf,-Inf,NA
"TC12_TimeToAction_4",3,"LC",21,0,NA,NA,NA,Inf,-Inf,NA
